vendor,product,eol_date,replacement
Palo Alto,Version,End-of-Life Date,
Palo Alto,5.2.0,2025-05-01,
Palo Alto,5.1.2,2025-05-01,
Palo Alto,5.1.1,2025-05-01,
Palo Alto,5.1.0,2025-05-01,
Palo Alto,5.0.0,2024-08-01,
Palo Alto,4.2.0,2024-08-01,
Palo Alto,4.1.0,2024-08-01,
Palo Alto,4.0.0,2024-08-01,
Palo Alto,3.2.2 (support 10.1),2025-08-31,
Palo Alto,3.2.1,2024-08-01,
Palo Alto,3.2.0,2024-08-01,
Palo Alto,3.1.0,2024-08-01,
Palo Alto,3.0.1,2024-08-01,
Palo Alto,3.0.0,2024-08-01,
Palo Alto,2.0.3,2024-08-01,
Palo Alto,2.0.2,2024-08-01,
Palo Alto,2.0.1,2024-08-01,
Palo Alto,2.0.0,2024-08-01,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,GCP Version,End-of-Life Date,
Palo Alto,3.1.2,Latest,
Palo Alto,3.1.1,2025-05-01,
Palo Alto,3.1.0,2024-08-01,
Palo Alto,3.0.0,2024-08-01,
Palo Alto,2.0.0 (support 10.1),2025-08-31,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,NSX Version,End-of-Life Date,
Palo Alto,5.0.1,2024-08-01,
Palo Alto,5.0.0,2024-08-01,
Palo Alto,4.0.4 (support 10.1),2025-08-31,
Palo Alto,4.0.3,2024-08-01,
Palo Alto,4.0.2,2024-02-01,
Palo Alto,4.0.1,2024-12-01,
Palo Alto,4.0.0,2024-08-01,
Palo Alto,3.2.4,2024-08-01,
Palo Alto,3.2.3,2024-08-01,
Palo Alto,3.2.1,2024-08-01,
Palo Alto,3.2.0,2024-08-01,
Palo Alto,3.1.0,2024-08-01,
Palo Alto,2.0.6,2024-08-01,
Palo Alto,2.0.5,2024-08-01,
Palo Alto,2.0.4,2024-08-01,
Palo Alto,2.0.3,2024-08-01,
Palo Alto,2.0.2,2024-08-01,
Palo Alto,2.0.1,2024-08-01,
Palo Alto,vCenter Version,End-of-Life Date,
Palo Alto,2.1.0,Latest,
Palo Alto,2.0.0 (support 10.1),2025-08-31,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,ACI Version,End-of-Life Date,
Palo Alto,3.0.1,Latest,
Palo Alto,3.0.0,2024-08-01,
Palo Alto,2.0.3 (10.1),2025-08-31,
Palo Alto,2.0.2,2024-08-01,
Palo Alto,2.0.1,2024-08-01,
Palo Alto,2.0.0,2024-08-01,
Palo Alto,1.0.1,2024-08-01,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,Nutanix,End-of-Life Date,
Palo Alto,2.0.2,Latest,
Palo Alto,2.0.1,2025-05-01,
Palo Alto,2.0.0,August 01 2024,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,Version,End-of-Life Date,
Palo Alto,1.1.3,Latest,
Palo Alto,1.1.2,2025-05-01,
Palo Alto,1.1.1,2024-08-01,
Palo Alto,1.1.0,2024-08-01,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,Version,End-of-Life Date,
Palo Alto,4.0.0,2024-08-01,
Palo Alto,3.0.4,Latest,
Palo Alto,3.0.3,2025-05-01,
Palo Alto,3.0.2,2025-05-01,
Palo Alto,3.0.1,2024-08-01,
Palo Alto,3.0.0,2024-08-01,
Palo Alto,2.0.2 (10.1),2024-12-01,
Palo Alto,2.0.1,2024-08-01,
Palo Alto,2.0.0,2024-08-01,
Palo Alto,1.0.5,2024-08-01,
Palo Alto,1.0.4,2024-08-01,
Palo Alto,1.0.3,2024-08-01,
